Time (s),Vehicle Count
0.0,6
0.047619047619047616,6
0.09523809523809523,6
0.14285714285714285,6
0.19047619047619047,6
0.23809523809523808,6
0.2857142857142857,6
0.3333333333333333,6
0.38095238095238093,7
0.42857142857142855,9
0.47619047619047616,8
0.5238095238095238,7
0.5714285714285714,5
0.6190476190476191,5
0.6666666666666666,5
0.7142857142857143,5
0.7619047619047619,5
0.8095238095238095,5
0.8571428571428571,5
0.9047619047619048,5
0.9523809523809523,5
1.0,5
1.0476190476190477,5
1.0952380952380953,5
1.1428571428571428,5
1.1904761904761905,5
1.2380952380952381,5
1.2857142857142858,6
1.3333333333333333,5
1.380952380952381,5
1.4285714285714286,5
1.4761904761904763,6
1.5238095238095237,5
1.5714285714285714,5
1.619047619047619,5
1.6666666666666667,5
1.7142857142857142,5
1.7619047619047619,6
1.8095238095238095,5
1.8571428571428572,5
1.9047619047619047,6
1.9523809523809523,6
2.0,5
2.0476190476190474,5
2.0952380952380953,5
2.142857142857143,5
2.1904761904761907,5
2.238095238095238,5
2.2857142857142856,5
2.3333333333333335,5
2.380952380952381,5
2.4285714285714284,5
2.4761904761904763,5
2.5238095238095237,5
2.5714285714285716,5
2.619047619047619,5
2.6666666666666665,5
2.7142857142857144,6
2.761904761904762,7
2.8095238095238093,6
2.857142857142857,7
2.9047619047619047,6
2.9523809523809526,6
3.0,5
3.0476190476190474,5
3.0952380952380953,4
3.142857142857143,4
3.1904761904761907,4
3.238095238095238,5
3.2857142857142856,5
3.3333333333333335,5
3.380952380952381,4
3.4285714285714284,4
3.4761904761904763,4
3.5238095238095237,4
3.5714285714285716,5
3.619047619047619,5
3.6666666666666665,5
3.7142857142857144,5
3.761904761904762,6
3.8095238095238093,7
3.857142857142857,7
3.9047619047619047,6
3.9523809523809526,5
4.0,5
4.0476190476190474,5
4.095238095238095,5
4.142857142857143,6
4.190476190476191,5
4.238095238095238,6
4.285714285714286,7
4.333333333333333,6
4.380952380952381,5
4.428571428571429,5
4.476190476190476,5
4.523809523809524,6
4.571428571428571,6
4.619047619047619,7
4.666666666666667,6
4.714285714285714,6
4.761904761904762,6
4.809523809523809,6
4.857142857142857,6
4.904761904761905,7
4.9523809523809526,6
5.0,6
5.0476190476190474,7
5.095238095238095,8
5.142857142857143,7
5.190476190476191,7
5.238095238095238,8
5.285714285714286,7
5.333333333333333,7
5.380952380952381,7
5.428571428571429,7
5.476190476190476,8
5.523809523809524,8
5.571428571428571,7
5.619047619047619,7
5.666666666666667,7
5.714285714285714,6
5.761904761904762,6
5.809523809523809,6
5.857142857142857,6
5.904761904761905,6
5.9523809523809526,6
6.0,8
6.0476190476190474,8
6.095238095238095,8
6.142857142857143,9
6.190476190476191,9
6.238095238095238,9
6.285714285714286,8
6.333333333333333,7
6.380952380952381,7
6.428571428571429,7
6.476190476190476,8
6.523809523809524,8
6.571428571428571,8
6.619047619047619,9
6.666666666666667,8
6.714285714285714,8
6.761904761904762,8
6.809523809523809,7
6.857142857142857,7
6.904761904761905,7
6.9523809523809526,7
7.0,7
7.0476190476190474,6
7.095238095238095,6
7.142857142857143,6
7.190476190476191,6
7.238095238095238,6
7.285714285714286,6
7.333333333333333,6
7.380952380952381,7
7.428571428571429,5
7.476190476190476,5
7.523809523809524,5
7.571428571428571,5
7.619047619047619,5
7.666666666666667,6
7.714285714285714,6
7.761904761904762,6
7.809523809523809,5
7.857142857142857,5
7.904761904761905,5
7.9523809523809526,5
8.0,7
8.047619047619047,7
8.095238095238095,6
8.142857142857142,5
8.19047619047619,6
8.238095238095237,5
8.285714285714286,5
8.333333333333334,4
8.380952380952381,5
8.428571428571429,5
8.476190476190476,7
8.523809523809524,7
8.571428571428571,6
8.619047619047619,6
8.666666666666666,7
8.714285714285714,6
8.761904761904763,6
8.80952380952381,6
8.857142857142858,6
8.904761904761905,6
8.952380952380953,6
9.0,6
9.047619047619047,6
9.095238095238095,6
9.142857142857142,6
9.19047619047619,6
9.238095238095237,6
9.285714285714286,6
9.333333333333334,6
9.380952380952381,6
9.428571428571429,6
9.476190476190476,6
9.523809523809524,6
9.571428571428571,6
9.619047619047619,6
9.666666666666666,7
9.714285714285714,6
9.761904761904763,7
9.80952380952381,7
9.857142857142858,6
9.904761904761905,6
9.952380952380953,6
10.0,6
10.047619047619047,6
10.095238095238095,7
10.142857142857142,7
10.19047619047619,7
10.238095238095237,7
10.285714285714286,7
10.333333333333334,8
10.380952380952381,8
10.428571428571429,8
10.476190476190476,7
10.523809523809524,6
10.571428571428571,6
10.619047619047619,6
10.666666666666666,7
10.714285714285714,7
10.761904761904763,7
10.80952380952381,6
10.857142857142858,6
10.904761904761905,7
10.952380952380953,8
11.0,8
11.047619047619047,8
11.095238095238095,8
11.142857142857142,7
11.19047619047619,7
11.238095238095237,9
11.285714285714286,8
11.333333333333334,7
11.380952380952381,7
11.428571428571429,7
11.476190476190476,7
11.523809523809524,7
11.571428571428571,9
11.619047619047619,7
11.666666666666666,7
11.714285714285714,6
11.761904761904763,7
11.80952380952381,8
11.857142857142858,8
11.904761904761905,7
11.952380952380953,8
12.0,7
12.047619047619047,9
12.095238095238095,7
12.142857142857142,6
12.19047619047619,7
12.238095238095237,7
12.285714285714286,7
12.333333333333334,7
12.380952380952381,8
12.428571428571429,7
12.476190476190476,6
12.523809523809524,6
12.571428571428571,6
12.619047619047619,7
12.666666666666666,7
12.714285714285714,7
12.761904761904763,7
12.80952380952381,9
12.857142857142858,9
12.904761904761905,9
12.952380952380953,7
13.0,9
13.047619047619047,8
13.095238095238095,7
13.142857142857142,7
13.19047619047619,6
13.238095238095237,6
13.285714285714286,7
13.333333333333334,9
13.380952380952381,10
13.428571428571429,9
13.476190476190476,7
13.523809523809524,7
13.571428571428571,7
13.619047619047619,6
13.666666666666666,8
13.714285714285714,8
13.761904761904763,8
13.80952380952381,6
13.857142857142858,6
13.904761904761905,6
13.952380952380953,6
14.0,6
14.047619047619047,8
14.095238095238095,5
14.142857142857142,6
14.19047619047619,7
14.238095238095237,8
14.285714285714286,5
14.333333333333334,5
14.380952380952381,6
14.428571428571429,5
14.476190476190476,6
14.523809523809524,5
14.571428571428571,6
14.619047619047619,7
14.666666666666666,7
14.714285714285714,7
14.761904761904763,7
14.80952380952381,7
14.857142857142858,6
14.904761904761905,6
14.952380952380953,6
15.0,7
15.047619047619047,6
15.095238095238095,6
15.142857142857142,7
15.19047619047619,7
15.238095238095237,7
15.285714285714286,7
15.333333333333334,7
15.380952380952381,7
15.428571428571429,6
15.476190476190476,7
15.523809523809524,7
15.571428571428571,6
15.619047619047619,5
15.666666666666666,5
15.714285714285714,6
15.761904761904763,5
15.80952380952381,5
15.857142857142858,5
15.904761904761905,5
15.952380952380953,6
16.0,6
16.047619047619047,5
16.095238095238095,5
16.142857142857142,5
16.19047619047619,6
16.238095238095237,6
16.285714285714285,5
16.333333333333332,5
16.38095238095238,5
16.428571428571427,5
16.476190476190474,5
16.523809523809526,5
16.571428571428573,5
16.61904761904762,4
16.666666666666668,5
16.714285714285715,5
16.761904761904763,5
16.80952380952381,5
16.857142857142858,5
16.904761904761905,5
16.952380952380953,6
17.0,5
17.047619047619047,5
17.095238095238095,4
17.142857142857142,4
17.19047619047619,4
17.238095238095237,5
17.285714285714285,4
17.333333333333332,4
17.38095238095238,4
17.428571428571427,5
17.476190476190474,5
17.523809523809526,5
17.571428571428573,6
17.61904761904762,4
17.666666666666668,5
17.714285714285715,5
17.761904761904763,3
17.80952380952381,4
17.857142857142858,6
17.904761904761905,3
